sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
11,C0_clean,bonafide,0.5488146873615162,0.5411547686147257,1.0,0.8578604535611979,0.4274281084537506,1.0,0.5315538048744202,0.9946477069962394
11,C8_opus16,bonafide,0.5471124299203343,0.5384314919213758,1.0,0.8002801906757164,0.4381659954786301,0.9087343811988831,0.45960482954978943,0.9963499644374213
11,C9_opus6,bonafide,0.5615899150515298,0.5167907483688594,1.0,0.2672671965254321,0.16332949340343475,0.18395476043224335,0.08313064277172089,0.5624869984033951
11,N1_awgn20,bonafide,0.5457951873171983,0.539348980868893,1.0,0.7925181727761533,0.49303191900253296,0.8386871218681335,0.5258105397224426,0.9976672070405572
11,N2_awgn10,bonafide,0.5460874609381705,0.5424448198161984,1.0,0.8423609976345181,0.4445898443460465,0.8383495807647705,0.6926956176757812,0.997374933419585
12,C0_clean,bonafide,0.5384236537767983,0.5437948461024664,1.0,0.8569819900274878,0.4274281352758408,1.0,0.5326196551322937,0.9906536449593323
12,C8_opus16,bonafide,0.5406412193423223,0.5357478698848321,1.0,0.7997782366125046,0.4381659954786301,0.9087343811988831,0.46141040325164795,0.9928712105248563
12,C9_opus6,bonafide,0.5475301932754211,0.5253138469093597,1.0,0.2682586848345545,0.16183840557932852,0.17636620998382568,0.07562194168567657,0.5834187277844043
12,N1_awgn20,bonafide,0.5385009814069699,0.5353593309879104,1.0,0.7891083095972095,0.4731561571359635,0.8516708612442017,0.504068911075592,0.9907309725895038
12,N2_awgn10,bonafide,0.5441796123669173,0.5392110243587516,1.0,0.8016100730280311,0.462408521771431,0.8231571316719055,0.5780811309814453,0.9964096035494512
13,C0_clean,bonafide,0.5492170687916027,0.5468171774547586,1.0,0.8820791382778002,0.4274281352758408,1.0,0.6195018887519836,0.9874285721740171
13,C8_opus16,bonafide,0.5419010287673217,0.5403850577083114,1.0,0.8243641237679795,0.4381660282611847,0.9087343811988831,0.5414899587631226,0.9947446121982981
13,C9_opus6,bonafide,0.5608266354153981,0.5194729275664196,1.0,0.26834709306128396,0.16022345080971717,0.17177656292915344,0.07004435062408447,0.5954105423413241
13,N1_awgn20,bonafide,0.5473001378463846,0.5310271560891872,1.0,0.7949689603649392,0.49007202684879303,0.8514319062232971,0.5253084897994995,0.9893455031192352
13,N2_awgn10,bonafide,0.5410524713773923,0.5333061559039345,1.0,0.7751350877458989,0.47424671053886414,0.8286401033401489,0.4833369851112366,0.9955931695882275
14,C0_clean,bonafide,0.5336955802283249,0.5445893097352739,1.0,0.8506502336996682,0.4274281352758408,1.0,0.5202991366386414,0.9818683090269194
14,C8_opus16,bonafide,0.5469876386787781,0.5305778377942076,1.0,0.8438897151912557,0.4381659954786301,0.9087343811988831,0.606159508228302,0.9951603674773726
14,C9_opus6,bonafide,0.5553861486286438,0.5327869199676845,1.0,0.26971733242461143,0.1603524298965931,0.1713445782661438,0.07137602269649505,0.5992223143640181
