sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
4,C8_opus16,0.3725441187620164,0.3741587281227111,0.37288782000541687,0.8353463276220472,0.8633946180343628,0.6335451967163583,0.9997497379779816
5,C8_opus16,0.3725411251187324,0.37419141083955765,0.3723527491092682,0.8450443939494793,0.8893030285835266,0.6311346504846228,0.9999426245689391
6,C8_opus16,0.37255427688360215,0.37422818988561624,0.37284204363822937,0.8445708645435894,0.8846445083618164,0.6359272692113203,0.9997829347848892
7,C8_opus16,0.3726564049720764,0.3741302728652954,0.37267032265663147,0.8282510852367633,0.8503910899162292,0.6270034997168357,0.9999786645174027
8,C8_opus16,0.3725157454609871,0.37412947565317156,0.3723753094673157,0.8380375669427215,0.8703080415725708,0.6330555054967597,0.9999923288822173
9,C8_opus16,0.37252523899078366,0.3740567028522491,0.3721592128276825,0.8210671972675552,0.8266846537590027,0.6348335214599737,0.9998109310865402
10,C8_opus16,0.3726243004202843,0.3739457592368126,0.37280726432800293,0.8273200417491342,0.8419633507728577,0.635149419616509,0.9999662518501281
11,C8_opus16,0.3726459696888924,0.37416400760412216,0.3728972375392914,0.8357761649207032,0.8622118234634399,0.6363505704256412,0.9999542146921158
12,C8_opus16,0.37269006818532946,0.3742138877511024,0.3723117411136627,0.8269312758650542,0.8424137830734253,0.6332504565206372,0.9999687522649765
13,C8_opus16,0.37273400574922566,0.37402373701333996,0.37267202138900757,0.829673169093464,0.8498280644416809,0.6326471899520498,0.9998259544372559
14,C8_opus16,0.3727462500333786,0.3742504328489304,0.37280595302581787,0.8319512635441807,0.8555908799171448,0.6323874403940928,0.9999955981969834
15,C8_opus16,0.37269124239683155,0.3745488032698631,0.3726400136947632,0.8386133071226665,0.8770982027053833,0.6259750245156515,0.9999383956193924
16,C8_opus16,0.3726544424891472,0.3741030558943748,0.3727862536907196,0.8310213457540605,0.8548423051834106,0.6303707924140608,0.999910619854927
17,C8_opus16,0.3726867765188217,0.37389411628246305,0.37238821387290955,0.8327764271750655,0.8636048436164856,0.6244850662200341,0.9999632328748703
18,C8_opus16,0.3727604851126671,0.37380636781454085,0.37269920110702515,0.825843503337709,0.8407854437828064,0.6319030955818223,0.9998613238334657
19,C8_opus16,0.37260332256555556,0.3741727069020272,0.3723081052303314,0.8315255236197211,0.8553069233894348,0.6314799178205257,0.9998625963926315
0,C9_opus6,0.37220932990312583,0.37461003512144087,0.5,0.2998780533671379,0.0,0.0,0.9995935112237931
1,C9_opus6,0.3722026735544205,0.3744859427213669,0.5,0.29988260328769684,0.0,0.0,0.9996086776256561
2,C9_opus6,0.37219940721988676,0.37442331612110136,0.5,0.2998247712850571,0.0,0.0,0.9994159042835236
3,C9_opus6,0.37218175232410433,0.37408526837825773,0.5,0.29983047634363175,0.0,0.0,0.9994349211454392
4,C9_opus6,0.3722116410732269,0.3746502101421356,0.5,0.2998251780867576,0.0,0.0,0.9994172602891922
5,C9_opus6,0.37220592945814135,0.37454678565263744,0.5,0.2998822286725044,0.0,0.0,0.9996074289083481
6,C9_opus6,0.3722089156508446,0.3746130362153053,0.5,0.2998312720656395,0.0,0.0,0.9994375735521317
7,C9_opus6,0.37220246195793155,0.37448718845844264,0.5,0.29987021774053574,0.0,0.0,0.9995673924684525
8,C9_opus6,0.37220339030027394,0.3744991645216942,0.5,0.29990399211645125,0.0,0.0,0.9996799737215042
9,C9_opus6,0.37220264673233033,0.37449251115322113,0.5,0.299846501648426,0.0,0.0,0.9994883388280869
10,C9_opus6,0.37219788283109667,0.37439452260732653,0.5,0.2998821991682053,0.0,0.0,0.9996073305606843
11,C9_opus6,0.372198997437954,0.37441445440053944,0.5,0.2998796439170837,0.0,0.0,0.9995988130569458
12,C9_opus6,0.372202442586422,0.3744786664843559,0.5,0.2998630866408348,0.0,0.0,0.999543622136116
13,C9_opus6,0.3722034350037575,0.37449990063905714,0.5,0.2998930424451828,0.0,0.0,0.999643474817276
14,C9_opus6,0.3722072571516037,0.3745798259973526,0.5,0.29983962267637254,0.0,0.0,0.9994654089212418
15,C9_opus6,0.37222423404455185,0.3748950257897377,0.5,0.2998783788084984,0.0,0.0,0.9995945960283279
16,C9_opus6,0.3722005739808083,0.37444231361150737,0.5,0.29983702540397644,0.0,0.0,0.9994567513465882
17,C9_opus6,0.37219820022583006,0.3744043469429016,0.5,0.29984239697456355,0.0,0.0,0.9994746565818786
18,C9_opus6,0.37219557017087934,0.37435092180967333,0.5,0.299872128367424,0.0,0.0,0.9995737612247466
19,C9_opus6,0.37220791429281236,0.37459044307470324,0.5,0.2998401564359665,0.0,0.0,0.9994671881198884
0,N1_awgn20,0.3726055607199669,0.3741357639431953,0.37469974160194397,0.8707796992483836,0.9520148038864136,0.6332561836054261,0.9999897420406343
1,N1_awgn20,0.3726189136505127,0.3740012049674988,0.37470313906669617,0.8662963923202491,0.9405519366264343,0.6336103099539996,0.9999750822782516
2,N1_awgn20,0.37269774675369255,0.3740688502788544,0.37448352575302124,0.8672380901021095,0.9389079213142395,0.6390021614373831,0.9999142438173294
3,N1_awgn20,0.3726994454860687,0.37388215065002445,0.3741379976272583,0.8698229733854839,0.9492381811141968,0.6338063888252805,0.9999526143074036
