sample_idx,condition,deletion_auc,insertion_auc,score,ecs,stability,spectral_alignment,faithfulness_preservation
4,N1_awgn20,0.5430155843496323,0.5398527711629868,0.5393944978713989,0.8741444503201801,0.9613097310066223,0.6324455436513681,0.9996229827404023
5,N1_awgn20,0.5433577030897141,0.5402712494134904,0.5391958355903625,0.8775183734281576,0.9657280445098877,0.63744735419211,0.9999764978885651
6,N1_awgn20,0.5432659804821014,0.5393516659736634,0.5374652147293091,0.87697150163159,0.9723467230796814,0.6268838005696807,0.9998922407627107
7,N1_awgn20,0.5434394896030426,0.5388953447341919,0.5380855798721313,0.8750895994873534,0.9634607434272766,0.6326754112944637,0.9996755957603455
8,N1_awgn20,0.5437216699123383,0.5400052726268768,0.5391958951950073,0.8756216527869214,0.9638721942901611,0.6339722877906129,0.9996036291122437
9,N1_awgn20,0.5431128293275833,0.5399303823709488,0.5391629934310913,0.8766818213486498,0.9633293747901917,0.6387984693129278,0.9990351021289825
10,N1_awgn20,0.543260657787323,0.5402571439743042,0.5395763516426086,0.8768539989218961,0.9635593891143799,0.6381737014405763,0.9999271094799042
11,N1_awgn20,0.5439060747623443,0.540042769908905,0.5375303030014038,0.8775301974184198,0.9661064147949219,0.6371159968001585,0.9998427748680115
12,N1_awgn20,0.5438171744346619,0.5388030350208283,0.5377759337425232,0.8740561035335142,0.9585692286491394,0.635724096516794,0.9997039437294006
13,N1_awgn20,0.5430493950843811,0.5397813856601715,0.5379260182380676,0.8730842073216548,0.9595033526420593,0.6317429249334702,0.9991999626159668
14,N1_awgn20,0.5437464088201522,0.5387738794088364,0.5379579067230225,0.8780975843555425,0.9664312601089478,0.6385811332486386,0.9998358011245727
15,N1_awgn20,0.5434970498085022,0.5399913430213927,0.5393528938293457,0.8736790130335416,0.9567945003509521,0.6367764684221232,0.9997609078884125
16,N1_awgn20,0.5435822606086731,0.5396357834339142,0.5390461683273315,0.878817379294172,0.9639994502067566,0.6442617966676262,0.9997968673706055
17,N1_awgn20,0.5438073337078094,0.5403885602951051,0.5378485321998596,0.8769700979600137,0.9673370718955994,0.6336780387195567,0.9997728586196899
18,N1_awgn20,0.5437250256538391,0.540527617931366,0.5397716760635376,0.8743357738297854,0.9578315615653992,0.6374664195516622,0.9998774111270905
19,N1_awgn20,0.5437786012887955,0.5390956550836563,0.5381006002426147,0.8738513195410803,0.9581197500228882,0.6353491782795834,0.9999955534934998
0,N2_awgn10,0.5437428951263428,0.5397833585739136,0.5375553965568542,0.8545085154651114,0.9115089774131775,0.6330990568394493,0.9999173581600189
1,N2_awgn10,0.5440618187189102,0.539420947432518,0.5375446677207947,0.8548261305223563,0.9108017086982727,0.6358306336835556,0.9991875231266021
2,N2_awgn10,0.5437768787145615,0.5402372032403946,0.539410412311554,0.8587993032560672,0.9173817038536072,0.6397610845916555,0.9997276544570923
3,N2_awgn10,0.5430191189050674,0.540178170800209,0.5388288497924805,0.8632011265545331,0.9266913533210754,0.6423578126527343,0.9993908047676086
4,N2_awgn10,0.5431532353162766,0.5397071450948715,0.5392075181007385,0.8620312438119877,0.9318800568580627,0.6311701031888286,0.9997606337070466
5,N2_awgn10,0.5438042908906937,0.5401676565408706,0.5386896133422852,0.863177330544971,0.9296714067459106,0.6381189785115674,0.9995769143104553
6,N2_awgn10,0.5430107474327088,0.5392526090145111,0.5392647981643677,0.8552901786510234,0.9130340218544006,0.6337360401763135,0.9998525261878968
7,N2_awgn10,0.5435697495937347,0.5389450252056122,0.5375270247459412,0.8608066352666113,0.9207720756530762,0.6421140142482826,0.9995453357696533
8,N2_awgn10,0.543468713760376,0.5399832487106323,0.5388913750648499,0.8596946465636626,0.9236953258514404,0.6341984688127484,0.999856585264206
